Size	   Bubble Sort	Selection Sort	Insertion Sort
50	236206.4	793173.94	280870.53
100	67974.97	742777.94	33682.023
150	163608.0	473554.16	89105.86
200	301087.7	128193.36	66019.96
250	336729.47	154852.12	73876.56
300	418227.97	171271.58	85608.91
350	524466.94	215200.16	102971.57
400	615862.6	243970.22	114718.6
450	761883.06	298489.84	139082.64
500	1035818.25	410300.56	191769.69
550	1206303.2	477283.16	230986.6
600	1325520.4	512329.0	239275.78
650	1688501.2	642093.6	304269.38
700	1869777.1	709027.4	333173.88
750	2028285.0	766303.75	364942.3
800	2314604.8	872706.2	417255.38
850	2733118.8	1046536.56	488370.62
900	2904453.5	1089621.9	520918.53
950	3361495.8	1256710.4	602114.1
1000	3640995.0	1385824.4	647961.2
